HSE_Region,date,weekly_mean_rain,weekly_sum_rain,Cryptosporidiosis,Giardiasis,Salmonellosis,Shigellosis,Verotoxigenic Escherichia coli infection,rain_mean_lag1,rain_sum_lag1,rain_mean_lag2,rain_sum_lag2,rain_mean_lag3,rain_sum_lag3,rain_mean_lag4,rain_sum_lag4,sin_month,cos_month,time,temperature,soil_moisture,et0,radiation,temp_lag1,temp_lag2,temp_lag3,temp_lag4,soil_lag1,soil_lag2,soil_lag3,soil_lag4,et0_lag1,et0_lag2,et0_lag3,et0_lag4,rad_lag1,rad_lag2,rad_lag3,rad_lag4
HSE Dublin and Midlands,2023-11-20,2.457444451283314,17.202111158983197,5.0,1.0,0.0,0.0,3.0,4.9354803963808695,34.54836277466609,2.6484427894380502,18.53909952606635,3.7613620976180218,26.329534683326152,10.564104142303194,73.94872899612236,-0.5000000000000004,0.8660254037844384,2023-11-17 11:30:00,8.899404761904762,0.3977142857142857,0.6828571428571429,3.1671428571428573,7.846428571428572,7.847619047619048,9.317261904761905,10.804761904761904,0.3898392857142857,0.4022559523809524,0.40780357142857143,0.40686904761904763,0.7785714285714286,0.6471428571428571,0.8142857142857143,0.8085714285714286,4.505714285714285,4.42,5.9799999999999995,3.9385714285714286
HSE Dublin and Midlands,2023-11-27,0.5644765187419216,3.951335631193451,2.0,0.0,4.0,4.0,4.0,2.457444451283314,17.202111158983197,4.9354803963808695,34.54836277466609,2.6484427894380502,18.53909952606635,3.7613620976180218,26.329534683326152,-0.5000000000000004,0.8660254037844384,2023-11-24 11:30:00,7.704166666666667,0.38327380952380957,0.4714285714285714,2.2414285714285715,8.899404761904762,7.846428571428572,7.847619047619048,9.317261904761905,0.3977142857142857,0.3898392857142857,0.4022559523809524,0.40780357142857143,0.6828571428571429,0.7785714285714286,0.6471428571428571,0.8142857142857143,3.1671428571428573,4.505714285714285,4.42,5.9799999999999995
HSE Dublin and Midlands,2023-12-04,0.3352742044685172,2.3469194312796207,6.0,0.0,1.0,0.0,5.0,0.5644765187419216,3.951335631193451,2.457444451283314,17.202111158983197,4.9354803963808695,34.54836277466609,2.6484427894380502,18.53909952606635,-2.4492935982947064e-16,1.0,2023-12-01 11:30:00,1.6279761904761902,0.37410714285714286,0.3314285714285714,2.9442857142857144,7.704166666666667,8.899404761904762,7.846428571428572,7.847619047619048,0.38327380952380957,0.3977142857142857,0.3898392857142857,0.4022559523809524,0.4714285714285714,0.6828571428571429,0.7785714285714286,0.6471428571428571,2.2414285714285715,3.1671428571428573,4.505714285714285,4.42
HSE Dublin and Midlands,2023-12-11,6.924326029420817,48.47028220594572,3.0,2.0,1.0,0.0,3.0,0.3352742044685172,2.3469194312796207,0.5644765187419216,3.951335631193451,2.457444451283314,17.202111158983197,4.9354803963808695,34.54836277466609,-2.4492935982947064e-16,1.0,2023-12-08 11:30:00,7.666666666666666,0.396375,0.6414285714285715,1.6642857142857144,1.6279761904761902,7.704166666666667,8.899404761904762,7.846428571428572,0.37410714285714286,0.38327380952380957,0.3977142857142857,0.3898392857142857,0.3314285714285714,0.4714285714285714,0.6828571428571429,0.7785714285714286,2.9442857142857144,2.2414285714285715,3.1671428571428573,4.505714285714285
HSE Dublin and Midlands,2023-12-18,0.832570628423709,5.827994398965963,4.0,2.0,1.0,1.0,2.0,6.924326029420817,48.47028220594572,0.3352742044685172,2.3469194312796207,0.5644765187419216,3.951335631193451,2.457444451283314,17.202111158983197,-2.4492935982947064e-16,1.0,2023-12-15 11:30:00,8.820238095238095,0.38831547619047624,0.39428571428571424,1.502857142857143,7.666666666666666,1.6279761904761902,7.704166666666667,8.899404761904762,0.396375,0.37410714285714286,0.38327380952380957,0.3977142857142857,0.6414285714285715,0.3314285714285714,0.4714285714285714,0.6828571428571429,1.6642857142857144,2.9442857142857144,2.2414285714285715,3.1671428571428573
HSE Dublin and Midlands,2023-12-25,1.9613990275127715,13.7297931925894,3.0,0.0,2.0,1.0,4.0,0.832570628423709,5.827994398965963,6.924326029420817,48.47028220594572,0.3352742044685172,2.3469194312796207,0.5644765187419216,3.951335631193451,-2.4492935982947064e-16,1.0,2023-12-22 11:30:00,9.398809523809524,0.3896130952380953,0.6985714285714286,1.2942857142857143,8.820238095238095,7.666666666666666,1.6279761904761902,7.704166666666667,0.38831547619047624,0.396375,0.37410714285714286,0.38327380952380957,0.39428571428571424,0.6414285714285715,0.3314285714285714,0.4714285714285714,1.502857142857143,1.6642857142857144,2.9442857142857144,2.2414285714285715
HSE Dublin and Midlands,2024-01-01,9.30419538991814,55.82517233950883,3.0,2.0,3.0,1.0,3.0,1.9613990275127715,13.7297931925894,0.832570628423709,5.827994398965963,6.924326029420817,48.47028220594572,0.3352742044685172,2.3469194312796207,0.4999999999999999,0.8660254037844387,2023-12-29 11:30:00,6.591071428571429,0.40642261904761906,0.7271428571428571,1.5185714285714287,9.398809523809524,8.820238095238095,7.666666666666666,1.6279761904761902,0.3896130952380953,0.38831547619047624,0.396375,0.37410714285714286,0.6985714285714286,0.39428571428571424,0.6414285714285715,0.3314285714285714,1.2942857142857143,1.502857142857143,1.6642857142857144,2.9442857142857144
HSE Dublin and North East,2021-05-31,1.335187450670876,9.34631215469613,1.0,1.0,0.0,0.0,0.0,5.6862391475927385,39.80367403314917,1.817640094711918,12.723480662983429,3.4858681925809,24.4010773480663,3.1437924230465666,22.006546961325967,0.4999999999999999,-0.8660254037844387,2021-05-28 11:30:00,12.57202380952381,0.3747619047619048,2.9857142857142853,19.092857142857145,12.57202380952381,12.57202380952381,12.57202380952381,12.57202380952381,0.3747619047619048,0.3747619047619048,0.3747619047619048,0.3747619047619048,2.9857142857142853,2.9857142857142853,2.9857142857142853,2.9857142857142853,19.092857142857145,19.092857142857145,19.092857142857145,19.092857142857145
HSE Dublin and North East,2021-06-07,0.3153591160220995,2.2075138121546964,3.0,0.0,0.0,0.0,3.0,1.335187450670876,9.34631215469613,5.6862391475927385,39.80367403314917,1.817640094711918,12.723480662983429,3.4858681925809,24.4010773480663,1.2246467991473532e-16,-1.0,2021-06-04 11:30:00,14.205357142857142,0.3248511904761905,3.204285714285714,19.512857142857143,12.57202380952381,12.57202380952381,12.57202380952381,12.57202380952381,0.3747619047619048,0.3747619047619048,0.3747619047619048,0.3747619047619048,2.9857142857142853,2.9857142857142853,2.9857142857142853,2.9857142857142853,19.092857142857145,19.092857142857145,19.092857142857145,19.092857142857145
HSE Dublin and North East,2021-06-14,0.2612746645619573,1.8289226519337016,5.0,0.0,1.0,0.0,5.0,0.3153591160220995,2.2075138121546964,1.335187450670876,9.34631215469613,5.6862391475927385,39.80367403314917,1.817640094711918,12.723480662983429,1.2246467991473532e-16,-1.0,2021-06-11 11:30:00,16.060119047619047,0.2994047619047619,2.792857142857143,15.317142857142857,14.205357142857142,12.57202380952381,12.57202380952381,12.57202380952381,0.3248511904761905,0.3747619047619048,0.3747619047619048,0.3747619047619048,3.204285714285714,2.9857142857142853,2.9857142857142853,2.9857142857142853,19.512857142857143,19.092857142857145,19.092857142857145,19.092857142857145
